,caption,image_id
265962,A snowboarder braces for impact during a fall.,38350
265971,A snowboarder falling off his board into the snow.,38350
266022,A person falling into the snow from their snowboard. ,38350
266252,Man wearing a helmet following off a snowboard,38350
266473,Ski boarder getting up from fall in the snow.,38350
116246,A group of people who are walking into the street.,356060
116294,Two men are about to cross a street where there are safety cones,356060
116382,Two people that are crossing the street that has some work being done.,356060
116445,A group of people crossing a street at a cross walk.,356060
116454,Two pedestrians are crossing the intersection amongst repair work. ,356060
369868,Not many people are attending this tennis match.,14938
369915,There is a male tennis player about to serve the ball,14938
370184,Tennis game at a stadium with a man serving the ball and some people in the stands.,14938
370209,Man in white and red getting ready to serve a tennis ball.,14938
370300,A male tennis player holds a tennis ball and racket on a tennis court surrounded by spectators.,14938
219327,a horse and buggy that has a guy on it,226524
219352,A couple of black horses pulling a carriage up a hill.,226524
219441,A man in a buggy is being pulled by horses.,226524
219587,two strong horses pulling a man on a carriage with cargo,226524
219615,Some horses pull a wagon up a hill on to a road.,226524
192590,Several boats in a docking area in the water.,259817
192606,Four boats that are on the water and two people standing nearby. ,259817
192732,A few boats parked in a marine filled with water.,259817
192739,Several small rowboats tied to a cement dock.,259817
192794,There are four boats on the water tied to each other.  ,259817
291006,A surf board sticking out of the sand on a beach.,48229
291280,A paddle board stands diagonal on its edge in the sand. ,48229
291320,A surfboard standing in the sand near the water.,48229
294761,Surf board stuck in the sand at the beach.,48229
294763,A surfboard propped up on the sand at a beach in front of buildings and a surfer walking by along the water.,48229
394944,Preparing for a wine tasting of a red wine,238304
395024,A hand is holding a wine glass with liquid being poured into it.,238304
395154,A person pouring wine into a wine glass.,238304
395163,A man pouring red wine into a wine glass.,238304
395378,A person is pouring red wine in a wine glass and holding the glass,238304
95948,Buses line both sides of an urban street.,329188
95949,A row of buses drive down the street.,329188
95955,A sunny street lined with several colorful buses,329188
95967,Double decker buses line the streets of a town.,329188
95969,Several buses parked on the side of a road near buildings.,329188
395322,There is a finger on the level of a blender,224825
395445,a person adjusting a blender speed with a picture in the blender,224825
395504,A persons' hand on a blender with a picture of someone inside.,224825
395541,A photograph of a person has been placed inside of a blender; a hand is turning the blender on.,224825
395617,View of a hand turning on a white blender.,224825
380063,Three students are gathered around a wire table. ,327209
380072,A couple of men standing next to a  girl sitting on a chair.,327209
380115,boys and a girl talking outside in a courtyard,327209
380116,Two boys standing at a round outdoor table talking to a girl who is seated.,327209
380187,Some young people gathered at a round black metal table.,327209
261337,a young boy standing with his back against the wall and next to a skateboard,259652
261402,a male in a white shirt and his skateboard,259652
261406,A boy with a skateboard leans against a concrete wall.,259652
261448,A boy is riding on a snowboard on an empty street.,259652
261473,A kid leaning on a wall with a skateboard tipped at his feet ,259652
248026,A woman and a little girl that are standing in the snow.,219926
248056,Woman standing over a small toddler on skis.,219926
248266,A woman stooping to help a small child in skis.,219926
248343,A woman adjusting a child's skis on a snow filled ground.,219926
261827,A woman helping a boy with his skis on a snowy field.,219926
218509,A couple of people on a field playing baseball.,287418
218597,A baseball player tossing a bat down next to a base.,287418
218602,A baseball player starts to run the bases after a hit.,287418
218692,Detroit baseball player dropping bat and preparing to run to base,287418
218734,a baseball player with a bat in the field ,287418
364282,Tennis players at match standing over net shaking hands.,423678
364288,Two tennis players shake hands at the end of a match.,423678
364358,Two tennis players shaking hands across the net.,423678
364447,A tennis player is being congratulated by a man with a camera.,423678
364655,Two men on each side of a tennis net shaking hands.,423678
297279,a tv showing a station broadcast in a restaraunt kitchen,429892
297313,A flat screen TV above a counter in a kitchen.,429892
297364,a television mounted on a wall in a kitchen.,429892
297416,A tv posted up in the industrial kitchen area,429892
297421,A television mounted on a wall of a commercial kitchen.,429892
51038,"The young competitor has fallen off his bike, and there are officials running to assist.",324455
51052,there is a man that has fallen off a yellow motorcycle,324455
51290,A man is on the ground next to a motorcycle,324455
51304,Track personnel running toward a motorcycle racer who has fallen off his bike.,324455
65139,A man on a yellow motorcycle has fallen off.,324455
99159,A young girl skiing through a snow covered forest.,342183
99180,a lady skier next to snow covered trees and grass.,342183
99371,A girl with skis in snow surrounded by trees.,342183
99397,A young girl on a cross country ski trail,342183
99648,a person riding skis on a snowy path,342183
382725,A clock and a window in a room.,256613
382872,a wall with a picture and clock sitting on a wall,256613
382970,The inside of a room with green painted walls and a window that has a clock and a photo of a man above it.,256613
383098,a green room with a picture hanging on the wall,256613
383134,A clock and a picture hung above a big window.,256613
400956,A woman pouring a glass of wine near a man.,557021
400976,A woman is pouring a bottle of wine into wine glasses.,557021
401039,A lady pouring champagne into two glasses while a man waits for his glass.,557021
401082,A waitress pouring wine into a glass for a man.,557021
